cluster,gene,avg_log2FC,p_val_adj
4,C1QA,7.61852039782447,0
4,MRC1,7.60890936422608,0
4,C1QB,7.59345253569919,0
4,SLCO2B1,7.57862737957292,0
4,CLEC5A,7.56354477114903,0
4,C5AR1,7.43566742098712,4.6682768044037e-138
4,CD163,7.26204002962353,0
4,CSF1R,7.14168752252974,0
4,CLEC4A,7.09737852410126,0
4,TREM1,7.03930305337956,0
4,AIF1,6.94518610839368,0
4,SPP1,6.92310855152028,0
4,FCGR3A,6.89651429075727,0
4,MSR1,6.85729645631357,3.82873768207033e-299
4,FPR1,6.854181949399,7.06749415943642e-300
5,CYP24A1,3.42038352932321,7.73795171859577e-46
5,CXCL5,3.20825194937457,3.33631066660348e-51
5,KRT4,2.7989644590018,0
5,CRYM,2.756666571353,0
5,PI3,2.48817691539603,0.00173964760279222
5,AC009159.3,2.41609394316178,0
5,KRT13,2.39040404142536,0
5,PIGR,2.3791597552907,1
5,LINC01549,2.36970033810307,0
5,TGFB2-AS1,2.35408428038791,0
5,S100A7A,2.2868907013103,0
5,KLK4,2.21060322424474,0
5,S100A8,2.15654851415236,3.15921832765609e-11
5,ODAPH,2.0747810914461,2.03304569702054e-39
5,LINC00284,2.01914158011853,0
5,IQCG,1.98261139056122,5.39918363119801e-157
5,SERPINB7,1.87159554844986,0
5,FDCSP,1.87062276739,0
5,KRT6C,1.80759920148238,0
5,S100A7,1.71454767108299,0
6,SERTM1,6.10497468760156,0
6,UPK1B,5.23805731018996,0
6,SLC5A8,5.11430533735511,0
6,ATP12A,4.88531840633251,0
6,GDA,4.87996252905759,0
6,LGALS7,4.73736962311323,0
6,SERPINA11,4.43000709665937,0
6,CEACAM5,4.1023028606659,0
6,KLK12,4.07834686011593,0
6,MUC15,4.0241545507808,0
6,KLK5,4.00999647602545,0
6,ASPRV1,3.98608501651441,0
6,KRTAP2-3,3.9757232006926,0
6,TMPRSS11E,3.93944074320266,0
6,CCNA1,3.90261308142987,0
6,DSC1,3.87437876369322,0
6,SLURP1,3.73097457059445,0
6,ALKAL1,3.72956155912696,0
6,BAALC,3.66436550387699,0
6,GAST,3.61130735419574,0
7,FAM178B,6.33616795740335,0
7,ASPG,5.31774836881989,2.70599167346011e-251
7,CHST9,5.14632342207698,0
7,CALML3,4.83859731055945,0
7,IGFBP5,4.74457280431064,0
7,HEY1,4.61568998221832,0
7,SIX1,4.4773281229449,0
7,RBP4,4.46131082399948,1.65015953803697e-86
7,BEST4,4.14540146269365,1.30909372195044e-81
7,ALDH1A1,3.9609269971334,2.35563865892911e-241
7,CXCL14,3.82392395221515,0
7,HSD17B1,3.78024485801562,0
7,TMEM213,3.76775840394438,0
7,TF,3.72045353251171,5.97971588905733e-51
7,TTYH1,3.64930655934622,0
7,TCTEX1D2,3.63856235861585,0
7,SH3BGR,3.56417916504318,0
7,CRABP1,3.52024083272568,0
7,KIT,3.50318929199435,0
7,TSEN34,3.49480448473861,0
8,SIX3,7.45787020104343,0
8,OBP2B,6.24913734356278,0
8,KANK4,6.02987531325585,0
8,MYEOV,5.81515032737565,0
8,CMTM5,5.78699190380684,1.65505169153803e-222
8,LINC00842,5.66810959586185,0
8,LINC01139,5.30941406525504,0
8,CDH2,5.27523625861803,4.15160818897112e-152
8,COLCA1,4.99482999547181,0
8,SEPT4,4.82907007599363,0
8,SNORC,4.68700545269449,0
8,PCSK1N,4.61129102928557,0
8,VAX2,4.58692997242544,0
8,CRTAC1,4.54286295751121,1.11878012815001e-218
8,FABP7,4.43300035545415,0
8,RAMP2,4.42618771147326,0
8,PRSS21,4.28162613520927,0
8,AQP5,4.15535727709648,0
8,FGFR2,4.15243268347855,0
8,SCRG1,4.10516826861506,0
9,ADGRF1,4.82939531417309,0
9,FAM156A,4.7924265888705,0
9,PLET1,4.64859679185714,0
9,POPDC3,4.41376895702423,0
9,C11orf16,4.04450799873522,0
9,HTR2A,3.9519990847023,0
9,RSPO3,3.55097294321753,0
9,LINC02515,3.5065135497447,0
9,TRPM8,3.48190772083778,4.88478885766607e-61
9,RALYL,3.44820631409706,0
9,RHEX,3.42643859685995,0
9,EXD1,3.3723831539741,0
9,CRYGS,3.36780294017321,0
9,CAPN6,3.33694579095508,0
9,AC114488.3,3.26259108204529,0
9,PRSS12,3.24838779870121,0
9,COL22A1,3.21341594547259,0
9,PIGR,3.16095117415055,0
9,AC025580.1,3.06318025321624,0
9,LINP1,3.05469255038491,0
10,CYP26A1,9.09353331581625,0
10,OXTR,8.336510585558,0
10,COL17A1,8.2997109425582,0
10,LRRC38,8.21380672680959,0
10,IL17B,8.00596854551928,0
10,TMEM178A,7.41095361319461,0
10,NTF3,7.31340368460508,0
10,NRCAM,7.00797200560047,0
10,CDH8,6.41712630986027,0
10,CLDN11,6.22165622460126,0
10,TCEAL5,6.16419333394519,0
10,CNN1,6.07444981799049,0
10,TNS4,5.74384020669555,0
10,ACTA2,5.73454880403598,0
10,ACTG2,5.51050199749879,0
10,SYT8,5.44135808644735,0
10,DLL1,5.4170205206171,7.55049631782639e-177
10,DKK3,5.31995030089173,4.06063476599855e-47
10,LTBP2,5.08586311727886,0
10,TAGLN,5.07056523284567,0
11,ARHGAP36,5.30017805580979,6.90561670062545e-47
11,MEPE,4.82120035086987,0
11,FGF10,4.24190036923861,0
11,GLRA3,4.20978743511919,0
11,TFF3,4.17838685768,0
11,PRLR,4.09644352287249,0
11,PGR,4.05539649236069,0
11,CYP4Z1,4.04089296198818,1
11,AGR2,3.91761809637085,2.78665869458816e-66
11,PDZK1,3.9093735171697,1.90610055801455e-147
11,IRS1,3.84610849021958,1
11,AFP,3.76316733103564,0
11,SEMA3B,3.75785604807291,4.4072461626651e-11
11,CALY,3.71627532426777,0
11,CLIC6,3.69028837599515,2.72510230656298e-151
11,AR,3.68562770378523,1.80313730603009e-11
11,AK5,3.64378363355201,0
11,AC100801.1,3.60364796849581,0
11,MLPH,3.57764591137045,3.2408598040122e-154
11,AFF3,3.5677779081726,0
12,CACNA1H,4.56664098034948,0
12,LURAP1L-AS1,3.30416530417595,0
12,AL590705.1,3.13921759159542,0
12,HBB,2.6862109247702,0
12,AC139795.2,2.67268019129561,0
12,HBD,2.64902987430342,0
12,HBA1,2.48865672430123,0
12,SULT1E1,2.40999125366271,0
12,HBA2,2.40032093263588,0
12,ERMN,2.39392187703352,0
